Results after 50 rounds:
Global Model results:
{'loss': 0.6655, 'accuracy': 0.7439, 'f1': 0.9359, 'accuracy_binary': 0.9373, 'recall': 0.9032, 'precision': 0.9711}
Client test 19: {'loss': 0.8313, 'accuracy': 0.7018, 'f1': 0.903, 'accuracy_binary': 0.9055, 'recall': 0.8674, 'precision': 0.9416}
Client test 20: {'loss': 0.8277, 'accuracy': 0.7145, 'f1': 0.9388, 'accuracy_binary': 0.94, 'recall': 0.9068, 'precision': 0.9731}
Client test 21: {'loss': 0.8825, 'accuracy': 0.7109, 'f1': 0.8963, 'accuracy_binary': 0.9036, 'recall': 0.8208, 'precision': 0.9871}
Client test 22: {'loss': 0.8504, 'accuracy': 0.7127, 'f1': 0.9087, 'accuracy_binary': 0.9145, 'recall': 0.8387, 'precision': 0.9915}
Client test 23: {'loss': 0.7811, 'accuracy': 0.7218, 'f1': 0.9031, 'accuracy_binary': 0.9091, 'recall': 0.8351, 'precision': 0.9831}
Client test 24: {'loss': 0.8188, 'accuracy': 0.7164, 'f1': 0.9336, 'accuracy_binary': 0.9364, 'recall': 0.8817, 'precision': 0.9919}
Client test 25: {'loss': 0.8166, 'accuracy': 0.7164, 'f1': 0.8915, 'accuracy_binary': 0.8982, 'recall': 0.8244, 'precision': 0.9705}
Client test 26: {'loss': 0.8491, 'accuracy': 0.7, 'f1': 0.9234, 'accuracy_binary': 0.9236, 'recall': 0.9068, 'precision': 0.9405}
Client test 27: {'loss': 0.8475, 'accuracy': 0.7273, 'f1': 0.9266, 'accuracy_binary': 0.9291, 'recall': 0.8817, 'precision': 0.9762}
Client test 28: {'loss': 0.9381, 'accuracy': 0.7182, 'f1': 0.9358, 'accuracy_binary': 0.9382, 'recall': 0.8889, 'precision': 0.988}
Client test 29: {'loss': 0.9458, 'accuracy': 0.7182, 'f1': 0.9275, 'accuracy_binary': 0.9273, 'recall': 0.9176, 'precision': 0.9377}
